Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
776th,SweepJT,55m 51s 200ms,55m 27s 160ms,1.16.1,Easy,F3,Vanilla,5 months ago
777th,floonf,56m 15s 462ms,55m 32s 200ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
778th,PhysicsBonaFide,55m 36s,55m 36s,1.16.1,Normal,F3,Vanilla,4 months ago
779th,Galoh,55m 17s 017ms,55m 37s 005ms,1.16.1,Easy,F3,Vanilla,1 month ago
780th,Zick407,55m 46s,55m 46s,1.16.1,Normal,F3,Vanilla,5 months ago
781st,megamaas69,55m 58s 024ms,55m 53s 035ms,1.16.1,Easy,F3,Vanilla,1 month ago
782nd,goseenanan,55m 57s,55m 55s,1.16.1,Normal,F3,Vanilla,1 month ago
783rd,Darth_Zo,56m 33s,55m 56s,1.16.1,Easy,F3,JellySquid,3 weeks ago
784th,ericsong19988,56m 21s 022ms,55m 56s 006ms,1.16.1,Easy,F3,Vanilla,2 months ago
785th,vrroy,56m 07s 617ms,56m 07s 617ms,1.16.1,Easy,F3,Vanilla,4 weeks ago
786th,JKtrue,56m 10s,56m 10s,1.16.1,Normal,F3,Optifine,5 months ago
787th,Natertater534,56m 11s,56m 11s,1.16.1,Normal,,Vanilla,6 months ago
788th,ShootingGoats,56m 11s 010ms,56m 11s 010ms,1.16.1,Normal,F3,Vanilla,4 months ago
789th,matyjsoubozi,56m 11s 076ms,56m 11s 076ms,1.16.1,Normal,F3,Vanilla,2 months ago
790th,sirtymoo,56m 14s 280ms,56m 14s 280ms,1.16.1,Easy,F3,JellySquid,3 months ago
791st,Bobsen2k,56m 15s 029ms,56m 15s 029ms,1.16.1,Easy,F3,Vanilla,2 months ago
792nd,NootNToot,56m 21s 770ms,56m 21s 770ms,1.16.4,Normal,No F3,Vanilla,1 month ago
793rd,Jeremy7228,56m 30s 830ms,56m 24s 750ms,1.16.1,Easy,F3,Vanilla,2 months ago
794th,Australia,56m 30s,56m 30s,1.16.1,Easy,F3,Optifine,4 months ago
795th,NeoHere,56m 30s 065ms,56m 30s 065ms,1.16.1,Normal,F3,Vanilla,1 month ago
796th,Fuzzykityz,57m 28s 049ms,56m 39s 065ms,1.16.1,Easy,F3,Vanilla,2 months ago
797th,Mrhv,56m 46s,56m 46s,1.16,Normal,F3,Vanilla,3 months ago
798th,Wire,56m 50s,56m 50s,1.16.1,Easy,F3,Vanilla,1 month ago
799th,Chetoos23,56m 59s 250ms,56m 55s 042ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
800th,owtaCTRL,57m 03s,56m 57s,1.16.1,Normal,F3,Vanilla,5 months ago
801st,aims,57m 06s,56m 58s,1.16.1,Easy,F3,Vanilla,5 months ago
802nd,seally,57m 04s 260ms,57m 04s 260ms,1.16.1,Normal,F3,Vanilla,5 months ago
803rd,UselessToast,57m 05s 053ms,57m 05s 053ms,1.16.3,Normal,,Vanilla,3 months ago
804th,Jirka_CZ25,57m 07s 026ms,57m 07s 026ms,1.16,Easy,F3,Vanilla,2 months ago
805th,CrickMc,57m 12s 092ms,57m 12s 092ms,1.16.1,Easy,F3,JellySquid,2 months ago
806th,sammysignal,57m 27s 100ms,57m 27s 100ms,1.16.1,Easy,F3,Vanilla,2 months ago
807th,Operam,57m 31s 071ms,57m 31s 071ms,1.16.1,Normal,F3,Vanilla,4 months ago
808th,McOne,57m 49s 021ms,57m 36s,1.16.1,Normal,F3,Vanilla,5 months ago
809th,DarkblueCG,57m 40s 071ms,57m 39s 085ms,1.16.1,Easy,F3,Vanilla,2 months ago
810th,Haroon_Chan,57m 39s 150ms,57m 39s 150ms,1.16.1,Easy,F3,Vanilla,1 month ago
811th,Rubius,57m 51s 031ms,57m 51s 031ms,1.16.1,Easy,F3,Vanilla,2 months ago
812th,HungrySheep,1h 00m 21s 530ms,57m 59s 750ms,1.16.1,Easy,F3,Vanilla,2 months ago
813th,ski5,1h 03m 30s,58m 00s,1.16.3,Easy,F3,Vanilla,2 months ago
814th,AxyTo,58m 00s 022ms,58m 00s 022ms,1.16.3,Easy,F3,Vanilla,2 months ago
815th,Fomka_Wyverno,58m 13s 068ms,58m 13s 068ms,1.16.1,Easy,F3,JellySquid,4 months ago
816th,Brinbobia,58m 17s 046ms,58m 17s 046ms,1.16.1,Normal,F3,Vanilla,2 months ago
817th,NoseQ,58m 45s 890ms,58m 19s 100ms,1.16.1,Normal,F3,Vanilla,2 months ago
818th,Kyrzer,58m 26s,58m 26s,1.16.1,Easy,F3,JellySquid,5 months ago
819th,GapsMN,58m 19s 086ms,58m 26s 200ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
820th,nebs,58m 29s 095ms,58m 29s 095ms,1.16.1,Easy,F3,JellySquid,2 months ago
821st,hewon,58m 39s 087ms,58m 39s 090ms,1.16.3,Easy,F3,Vanilla,2 months ago
822nd,daviddotorg,58m 40s 081ms,58m 40s 081ms,1.16.1,Easy,F3,Vanilla,2 months ago
823rd,thenoochm,58m 42s 020ms,58m 41s 020ms,1.16.2,Easy,F3,Vanilla,4 months ago
824th,Hardnaud,58m 48s 071ms,58m 48s 071ms,1.16.1,Easy,F3,Vanilla,4 months ago
825th,RustyGoldGaming,58m 49s,58m 49s,1.16.1,Normal,F3,Vanilla,1 month ago
826th,NiceDinoMan,58m 58s 070ms,58m 51s 070ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
827th,poke_,58m 54s 098ms,58m 53s 090ms,1.16.1,Easy,F3,JellySquid,3 months ago
828th,Penguinplayz,58m 55s,58m 54s,1.16.1,Normal,F3,Vanilla,5 months ago
829th,AlphaRW,58m 55s,58m 55s,1.16.1,Easy,F3,Vanilla,5 months ago
830th,Gianni135,1h 00m 00s,58m 57s 085ms,1.16.1,Easy,F3,JellySquid,1 week ago
831st,Galileii,59m 06s,59m 06s,1.16.3,Easy,F3,JellySquid,2 months ago
832nd,Perplexus319,59m 06s 042ms,59m 06s 042ms,1.16.1,Normal,F3,JellySquid,5 months ago
833rd,Shafin,59m 49s,59m 10s 700ms,1.16.1,Easy,F3,JellySquid,4 weeks ago
834th,tobeee,59m 11s,59m 11s,1.16.1,Easy,F3,Vanilla,1 month ago
835th,Piko72,59m 26s,59m 22s,1.16.1,Normal,F3,JellySquid,5 months ago
836th,bussa_boss,1h 00m 02s 083ms,59m 25s 650ms,1.16.1,Normal,F3,Optifine,5 months ago
837th,TBGG,59m 54s 920ms,59m 54s 920ms,1.16.1,Easy,F3,JellySquid,1 month ago
838th,OtoCill,59m 56s,59m 56s,1.16.1,Normal,F3,Optifine,4 months ago
839th,Skeletonman40,59m 58s 014ms,59m 58s 014ms,1.16.1,Easy,F3,Vanilla,2 months ago
840th,KingDoesThings,1h 00m 00s 007ms,1h 00m 00s 007ms,1.16.3,Normal,F3,Vanilla,2 months ago
841st,haz,1h 01m 51s 180ms,1h 00m 03s 350ms,1.16.1,Easy,F3,JellySquid,2 months ago
842nd,Dy1anator,1h 00m 05s 004ms,1h 00m 05s 004ms,1.16.1,Normal,F3,Vanilla,6 months ago
843rd,ayybaddon,1h 00m 12s 810ms,1h 00m 11s 950ms,1.16.1,Easy,F3,Vanilla,2 months ago
844th,PainDesu,1h 00m 45s,1h 00m 45s,1.16.1,Normal,F3,Vanilla,5 months ago
845th,GREIGAMES,1h 00m 47s 820ms,1h 00m 47s 820ms,1.16.1,Normal,F3,Vanilla,5 months ago
846th,Goodshottta,1h 00m 51s,1h 00m 51s,1.16.1,Normal,F3,Vanilla,4 months ago
847th,OrangeDec,1h 01m 03s,1h 01m 01s,1.16.1,Normal,F3,Optifine,5 months ago
848th,blize,1h 01m 02s,1h 01m 02s,1.16.1,Easy,F3,Optifine,5 months ago
849th,Faqacy,1h 01m 14s,1h 01m 14s,1.16.1,Normal,F3,Optifine,4 months ago
850th,Zaythorr,1h 02m 50s 016ms,1h 01m 27s 030ms,1.16.1,Normal,F3,JellySquid,2 months ago
851st,Dorin,1h 01m 28s 350ms,1h 01m 28s 350ms,1.16.1,Normal,F3,Vanilla,1 month ago
852nd,otaviobia,1h 02m 00s 240ms,1h 01m 35s 650ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
853rd,Falseness,1h 02m 23s,1h 01m 39s,1.16.1,Normal,F3,Vanilla,5 months ago
854th,Pehnk,1h 01m 59s,1h 01m 48s,1.16.1,Normal,F3,Vanilla,5 months ago
855th,Scrudgie,1h 02m 05s,1h 01m 53s,1.16.1,Normal,F3,Vanilla,3 months ago
856th,_CMS,1h 01m 54s,1h 01m 54s,1.16.1,Easy,F3,Vanilla,2 months ago
857th,LemurYT,1h 01m 54s 250ms,1h 01m 54s 250ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
858th,TTVlandxn30,1h 01m 54s 069ms,1h 01m 55s 003ms,1.16.1,Easy,F3,Vanilla,3 months ago
859th,SergioWott,1h 02m 02s,1h 02m 02s,1.16.1,Easy,F3,Vanilla,2 months ago
860th,Prrism,1h 02m 12s 370ms,1h 02m 12s 370ms,1.16.3,Normal,F3,Vanilla,3 months ago
861st,SrDaxta,1h 02m 17s,1h 02m 17s,1.16.1,Normal,F3,JellySquid,2 months ago
862nd,kakratka,1h 02m 32s 700ms,1h 02m 32s 700ms,1.16.1,Normal,F3,Vanilla,4 months ago
863rd,BrookeB07,1h 02m 38s 049ms,1h 02m 38s 049ms,1.16.1,Easy,F3,Vanilla,4 months ago
864th,Lobstar,1h 02m 52s,1h 02m 52s,1.16.1,Normal,F3,Optifine,5 months ago
865th,Zruler6,1h 03m 45s 010ms,1h 02m 59s 025ms,1.16.1,Easy,F3,Vanilla,1 month ago
866th,limoner,1h 03m 12s 300ms,1h 03m 12s 300ms,1.16.1,Easy,F3,Vanilla,6 months ago
867th,JoonFsh,1h 03m 15s 037ms,1h 03m 15s 037ms,1.16.1,Normal,F3,Vanilla,2 months ago
868th,Bradleyyy,1h 03m 44s 043ms,1h 03m 37s 055ms,1.16.1,Easy,F3,JellySquid,2 months ago
869th,neboblako,1h 03m 39s,1h 03m 39s,1.16.1,Normal,F3,JellySquid,4 months ago
870th,Chanxer,1h 03m 40s 033ms,1h 03m 40s 033ms,1.16.1,Easy,F3,Vanilla,2 months ago
871st,nodnarbiscool,1h 03m 46s 000ms,1h 03m 46s 000ms,1.16.1,Normal,F3,Vanilla,5 months ago
872nd,PauseUnpause,1h 03m 55s 080ms,1h 03m 55s 080ms,1.16.1,Easy,F3,Vanilla,2 months ago
873rd,CaptainPogg,1h 03m 56s 070ms,1h 03m 56s 070ms,1.16.2,Easy,F3,JellySquid,1 month ago
874th,waermelown,1h 08m 04s,1h 04m 02s,1.16,Normal,F3,Vanilla,1 month ago
875th,DudiHaas,1h 04m 34s 068ms,1h 04m 06s 065ms,1.16.1,Normal,F3,Vanilla,5 months ago
876th,TinyPepito,1h 04m 06s 771ms,1h 04m 07s 750ms,1.16.1,Hardcore,F3,Vanilla,3 months ago
877th,ophop2,1h 04m 24s,1h 04m 12s,1.15.2,Easy,F3,Vanilla,3 weeks ago
878th,Loefars,1h 04m 12s 030ms,1h 04m 12s 030ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
879th,Soice,1h 04m 27s,1h 04m 17s,1.16.2,Normal,F3,JellySquid,4 months ago
880th,daniotrix,1h 04m 24s,1h 04m 24s,1.16.3,Normal,F3,Vanilla,3 months ago
881st,LlamaCheese,1h 04m 29s,1h 04m 29s,1.16.1,Normal,F3,Vanilla,5 months ago
882nd,Juniper,1h 04m 41s,1h 04m 41s,1.16.1,Easy,F3,JellySquid,2 months ago
883rd,ZONEcold,1h 04m 43s 041ms,1h 04m 43s 041ms,1.16.1,Easy,F3,Vanilla,2 months ago
884th,fingeon27,1h 04m 51s,1h 04m 43s 800ms,1.16.1,Normal,F3,Vanilla,5 months ago
885th,_mrfasT_YT,1h 06m 26s,1h 04m 55s 018ms,1.16.1,Normal,,Vanilla,2 months ago
886th,Fartguy,1h 05m 07s,1h 05m 07s,1.16.1,Normal,F3,Optifine,5 months ago
887th,Vortexx,1h 05m 17s,1h 05m 17s,1.16.1,Easy,F3,Optifine,5 months ago
888th,ItsLenny,1h 05m 22s,1h 05m 24s,1.16.1,Normal,F3,JellySquid,4 months ago
889th,CinnamonChurro,1h 05m 34s,1h 05m 34s,1.16.1,Normal,F3,Optifine,5 months ago
890th,ElonMask,1h 06m 04s 180ms,1h 05m 44s 550ms,1.16.1,Normal,F3,Vanilla,3 months ago
891st,oaph,1h 05m 47s,1h 05m 47s,1.16.1,Normal,F3,Vanilla,6 months ago
892nd,Smelino,1h 06m 09s,1h 05m 54s,1.16.4,Easy,F3,Vanilla,1 month ago
893rd,Duccy,1h 06m 11s 015ms,1h 05m 59s 040ms,1.16.1,Easy,F3,Vanilla,1 month ago
894th,infernohalo,1h 06m 15s 080ms,1h 06m 02s 015ms,1.16.1,Normal,No F3,Vanilla,5 months ago
895th,Ozmeyham,1h 08m 20s 440ms,1h 06m 33s 500ms,1.16.1,Normal,No F3,Vanilla,4 months ago
896th,gustav2649,1h 08m 35s 890ms,1h 06m 36s 500ms,1.16.1,Easy,F3,JellySquid,1 month ago
897th,aoba,1h 06m 49s 100ms,1h 06m 49s 100ms,1.16.1,Normal,F3,JellySquid,1 week ago
898th,Schokay,1h 07m 13s 437ms,1h 07m 00s 250ms,1.16.2,Normal,F3,Vanilla,4 months ago
899th,horseneck,1h 07m 11s,1h 07m 11s,1.16.1,Normal,No F3,Optifine,4 months ago
900th,OldBoyDemon,1h 07m 18s 870ms,1h 07m 18s 870ms,1.16.3,Normal,F3,Vanilla,3 months ago
901st,LimDimSim,1h 08m 48s,1h 07m 33s 900ms,1.16.1,Easy,F3,Vanilla,5 months ago
902nd,Prevter,1h 07m 41s 040ms,1h 07m 41s 040ms,1.16.2,Easy,F3,JellySquid,2 months ago
903rd,olifrys,1h 07m 50s 099ms,1h 07m 47s 020ms,1.16.1,Easy,F3,Vanilla,1 month ago
904th,exd,1h 19m 42s 500ms,1h 07m 50s 300ms,1.16.1,Easy,F3,Vanilla,1 month ago
905th,jamerlmao,1h 07m 59s,1h 07m 59s,1.16.1,Normal,F3,Vanilla,4 months ago
906th,Sethje103,1h 08m 00s,1h 08m 00s,1.16.1,Normal,F3,Vanilla,5 months ago
907th,Xarrow_Gaming,1h 08m 05s 010ms,1h 08m 05s 010ms,1.16.1,Normal,F3,Vanilla,5 months ago
908th,tsu_tsu_cuckoo,1h 08m 23s 181ms,1h 08m 07s,1.16.1,Normal,F3,JellySquid,2 months ago
909th,Manaclaw,1h 08m 25s,1h 08m 12s,1.16.1,Easy,F3,JellySquid,4 months ago
910th,Squeeb256,1h 08m 53s,1h 08m 24s,1.16.2,Easy,F3,Vanilla,4 months ago
911th,GiuLor,1h 08m 30s 920ms,1h 08m 30s 920ms,1.16.1,Easy,F3,Vanilla,3 weeks ago
912th,OzoPolar,,1h 08m 39s 900ms,1.16.1,Easy,F3,Vanilla,6 months ago
913th,SmallRaptor,1h 08m 51s,1h 08m 51s,1.16.1,Easy,F3,Vanilla,4 months ago
914th,Phasidea,1h 08m 51s 074ms,1h 08m 51s 074ms,1.16.1,Easy,F3,Vanilla,1 month ago
915th,MGKTarget,1h 08m 54s,1h 08m 54s,1.16.1,Easy,F3,Vanilla,4 weeks ago
916th,MagicBraden1,1h 09m 19s 049ms,1h 09m 16s 065ms,1.16.1,Easy,F3,Vanilla,2 months ago
917th,Starler12,1h 09m 17s,1h 09m 17s,1.16.1,Normal,F3,Optifine,4 months ago
918th,OutplayedByBoris,1h 13m 12s 050ms,1h 09m 22s 070ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
919th,V1ert,1h 09m 29s 860ms,1h 09m 29s 860ms,1.16.1,Easy,F3,Vanilla,1 month ago
920th,WhoDisz,1h 09m 59s 055ms,1h 09m 59s 055ms,1.16.1,Normal,F3,Vanilla,5 months ago
921st,b00mbah,1h 10m 02s,1h 10m 02s,1.16.1,Normal,F3,Vanilla,5 months ago
922nd,Lawro,1h 10m 11s,1h 10m 03s,1.16.1,Easy,F3,Vanilla,5 months ago
923rd,k3rmit,1h 10m 06s,1h 10m 06s,1.16.1,Easy,F3,Optifine,5 months ago
924th,BlitzAshspear,1h 10m 12s,1h 10m 12s,1.16.1,Easy,F3,Vanilla,3 weeks ago
924th,Highlander2549,1h 10m 28s,1h 10m 12s,1.16.1,Normal,No F3,Optifine,5 months ago
926th,AppleGod,1h 10m 19s 037ms,1h 10m 19s 037ms,1.16.1,Easy,F3,JellySquid,2 months ago
927th,Fundy,1h 10m 21s 046ms,1h 10m 21s 046ms,1.16.1,Hard,F3,Vanilla,2 months ago
928th,mylanjari.,1h 10m 27s,1h 10m 27s,1.16.1,Normal,F3,Vanilla,6 months ago
929th,Mr_Flibble1981,1h 10m 33s,1h 10m 33s,1.16.1,Easy,F3,Vanilla,5 months ago
930th,Imprent,1h 09m 16s 097ms,1h 10m 42s 004ms,1.16.1,Hardcore,F3,JellySquid,2 months ago
931st,LinkTijger,1h 11m 02s 007ms,1h 11m 02s 007ms,1.16.1,Easy,F3,Vanilla,2 months ago
932nd,WhiteSoapstone,1h 11m 20s,1h 11m 20s,1.16.1,Normal,F3,Vanilla,3 months ago
933rd,AmDuck,1h 12m 03s 130ms,1h 11m 26s 250ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
934th,strikewind,1h 11m 42s,1h 11m 42s,1.16.1,Easy,F3,Vanilla,2 weeks ago
935th,Boostbend,1h 11m 56s,1h 11m 56s,1.16.1,Hardcore,F3,Optifine,5 months ago
936th,Gopi,1h 12m 46s 730ms,1h 12m 09s 700ms,1.16.1,Normal,F3,Vanilla,5 months ago
937th,Reloe,1h 12m 18s,1h 12m 18s,1.16.1,Easy,F3,JellySquid,1 month ago
938th,Quantum_,1h 13m 05s 320ms,1h 12m 56s 300ms,1.16.1,Easy,F3,Vanilla,1 month ago
939th,Rwon,1h 13m 04s 830ms,1h 13m 04s 830ms,1.16.1,Normal,F3,Vanilla,5 months ago
940th,LE047,1h 13m 08s 730ms,1h 13m 08s 730ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
941st,Flatbar,1h 13m 09s,1h 13m 09s,1.16.1,Normal,F3,Vanilla,6 months ago
942nd,Bossbot,1h 13m 23s,1h 13m 23s,1.16.1,Normal,No F3,Vanilla,3 months ago
943rd,iJevin,1h 13m 46s 062ms,1h 13m 46s 062ms,1.16.1,Normal,F3,Vanilla,5 months ago
944th,Sekkii,1h 13m 50s 052ms,1h 13m 50s 052ms,1.16.1,Normal,F3,Vanilla,4 months ago
945th,ParkerEditsYT,1h 14m 08s 150ms,1h 14m 07s 200ms,1.16.1,Easy,F3,Vanilla,4 months ago
946th,UserDoesNotExist,1h 14m 16s,1h 14m 16s,1.16.4,Normal,F3,Vanilla,2 weeks ago
947th,dxnger,1h 14m 44s 011ms,1h 14m 44s 011ms,1.16.3,Normal,F3,Vanilla,2 months ago
948th,SheepBoy25262,1h 15m 06s,1h 15m 06s,1.16.1,Easy,F3,Vanilla,3 months ago
949th,Toto,1h 15m 26s 082ms,1h 15m 13s 090ms,1.16.4,Normal,F3,Vanilla,1 month ago
950th,grabage,1h 15m 33s 700ms,1h 15m 24s 600ms,1.16.1,Normal,F3,JellySquid,2 months ago
951st,MatterM,1h 15m 27s,1h 15m 27s,1.16.1,Normal,No F3,Optifine,6 months ago
952nd,Jb3403,1h 15m 55s,1h 15m 55s,1.16.1,Normal,F3,Optifine,6 months ago
953rd,Tev178,1h 15m 56s 740ms,1h 15m 56s 740ms,1.16.1,Easy,F3,Vanilla,2 months ago
954th,mAnyL,1h 16m 37s 075ms,1h 16m 37s 075ms,1.16.1,Normal,F3,Vanilla,5 months ago
955th,Fabito,1h 16m 38s 270ms,1h 16m 37s 300ms,1.16.1,Easy,F3,JellySquid,2 months ago
956th,Werewolf8_8,1h 17m 08s 068ms,1h 16m 48s,1.16.2,Normal,F3,Vanilla,4 months ago
957th,Pol4,1h 16m 49s 517ms,1h 16m 49s 517ms,1.16.4,Easy,F3,Vanilla,1 month ago
958th,CapPieSon,1h 16m 51s,1h 16m 51s,1.16.1,Easy,F3,JellySquid,4 months ago
959th,DAsh,1h 17m 21s 340ms,1h 17m 11s 400ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
960th,LocutusOfNord,1h 17m 28s,1h 17m 17s,1.16.1,Normal,F3,Vanilla,3 months ago
961st,con_0805,1h 18m 09s 770ms,1h 17m 27s 400ms,1.16.1,Easy,F3,Vanilla,5 months ago
962nd,InTol,1h 17m 42s 679ms,1h 17m 36s 330ms,1.16.1,Normal,F3,Vanilla,6 months ago
963rd,MehmoTheReal,1h 21m 14s 400ms,1h 17m 49s 400ms,1.16.1,Normal,F3,JellySquid,2 months ago
964th,truesh00ter,1h 20m 26s 250ms,1h 17m 56s 600ms,1.16.1,Easy,F3,JellySquid,3 months ago
965th,LegendaryGW,1h 18m 59s 077ms,1h 18m 43s 014ms,1.16.3,Normal,F3,Vanilla,2 months ago
966th,aqts,1h 18m 45s 490ms,1h 18m 43s 550ms,1.16.1,Easy,F3,Vanilla,4 months ago
967th,MrXboxdylan,1h 18m 51s 020ms,1h 18m 51s 020ms,1.16.1,Easy,F3,Vanilla,1 month ago
968th,roel_bellemans,1h 19m 07s 043ms,1h 19m 07s 046ms,1.16.1,Easy,F3,Vanilla,2 months ago
969th,Yumii,1h 19m 25s 080ms,1h 19m 23s 095ms,1.16.1,Normal,F3,JellySquid,4 months ago
970th,Traintle,1h 19m 46s,1h 19m 30s,1.16.1,Normal,F3,Vanilla,5 months ago
971st,Chrazzers,1h 19m 31s,1h 19m 31s,1.16.1,Easy,F3,Vanilla,3 months ago
972nd,TomFaux,1h 19m 32s 008ms,1h 19m 32s 008ms,1.16.1,Easy,F3,Vanilla,2 months ago
973rd,TheWeatherman,1h 20m 18s 660ms,1h 19m 37s 600ms,1.16.1,Easy,F3,Vanilla,1 month ago
974th,PsychoMantis610,1h 20m 55s,1h 19m 52s,1.16.1,Easy,No F3,Vanilla,4 weeks ago
975th,Sleepyhead08,1h 19m 56s 077ms,1h 19m 56s 077ms,1.16.1,Easy,F3,Vanilla,1 month ago
976th,DomianosPizza,1h 20m 04s 039ms,1h 20m 02s 085ms,1.16.1,Normal,F3,Vanilla,5 months ago
977th,Neegative,1h 20m 04s,1h 20m 04s,1.16.1,Normal,F3,Vanilla,5 months ago
978th,SafetyDad,1h 20m 30s,1h 20m 06s,1.16.1,Easy,F3,Optifine,5 months ago
979th,kittenSnuggler,1h 20m 07s,1h 20m 07s,1.16.3,Normal,F3,Vanilla,3 months ago
980th,catfuryruin,1h 20m 43s 005ms,1h 20m 21s 055ms,1.16.1,Easy,F3,Vanilla,5 months ago
981st,ZombieKing,1h 20m 22s 066ms,1h 20m 22s 066ms,1.16.1,Normal,No F3,Vanilla,6 months ago
982nd,2BearsAtNoxus,1h 20m 49s 710ms,1h 20m 31s 550ms,1.16.1,Easy,F3,JellySquid,3 months ago
983rd,TheOtaku,1h 20m 47s,1h 20m 47s,1.16.1,Normal,F3,Vanilla,5 months ago
984th,BoxOfCandys,1h 21m 10s,1h 21m 10s,1.16.1,Easy,F3,Optifine,5 months ago
985th,ichessebume,1h 21m 20s,1h 21m 20s,1.16.1,Easy,F3,Vanilla,4 months ago
986th,JayWhatAgain,1h 21m 31s 750ms,1h 21m 46s 800ms,1.16.1,Easy,F3,Vanilla,1 month ago
987th,rocko__tfm,1h 21m 48s 220ms,1h 21m 48s 220ms,1.16.1,Easy,F3,Vanilla,6 months ago
988th,n8bnsn,1h 22m 53s 074ms,1h 22m 53s 074ms,1.16.4,Easy,F3,JellySquid,1 month ago
989th,JarOfJam,1h 23m 56s 383ms,1h 23m 56s 383ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
990th,miczysss_PL,1h 24m 11s,1h 24m 11s,1.16.1,Normal,No F3,Vanilla,5 months ago
991st,Passi_Live,1h 24m 52s 043ms,1h 24m 33s 043ms,1.16.1,Normal,F3,Vanilla,5 months ago
992nd,Shivaxi,1h 25m 00s,1h 25m 00s,1.16.1,Easy,F3,Vanilla,5 months ago
993rd,maxmarsden,1h 25m 49s 340ms,1h 25m 32s 750ms,1.16.1,Normal,F3,Vanilla,3 months ago
994th,CamNewton786,1h 25m 38s 600ms,1h 25m 38s 600ms,1.16.1,Easy,F3,Vanilla,1 week ago
995th,EnzoAM1723,1h 25m 48s 015ms,1h 25m 48s 015ms,1.16.1,Normal,F3,Vanilla,4 months ago
996th,HasonShita,1h 25m 51s,1h 25m 51s,1.16.1,Normal,F3,Vanilla,4 months ago
997th,Me_Gusta_Pog,1h 25m 57s 550ms,1h 25m 57s 550ms,1.16.1,Normal,F3,Vanilla,2 weeks ago
998th,Stolenfaun,1h 26m 03s,1h 26m 03s,1.16.1,Easy,F3,Optifine,5 months ago
999th,Vixonine,1h 26m 14s,1h 26m 05s,1.16.1,Normal,F3,Vanilla,5 months ago
1000th,Blizzard_,1h 26m 10s 044ms,1h 26m 08s 050ms,1.16.1,Normal,F3,Vanilla,1 month ago
1001st,BubbleF1sh,1h 29m 34s,1h 26m 17s,1.16,Normal,F3,Vanilla,1 month ago
1002nd,eman826,1h 26m 22s,1h 26m 22s,1.16.1,Easy,F3,JellySquid,1 month ago
1003rd,TreeisaNoob,1h 26m 44s,1h 26m 24s,1.16.3,Normal,,Vanilla,3 months ago
1004th,Unbewitched,1h 27m 37s 067ms,1h 27m 26s 070ms,1.16.1,Easy,F3,JellySquid,2 months ago
1005th,TheIrksomeSheep,1h 47m 09s 054ms,1h 27m 41s 050ms,1.16.3,Normal,F3,Vanilla,3 months ago
1006th,jpokemon,1h 29m 41s 010ms,1h 28m 32s 500ms,1.16.3,Normal,F3,Vanilla,2 months ago
1007th,neemaque,1h 28m 47s 020ms,1h 28m 47s 020ms,1.16.1,Normal,F3,Optifine,4 months ago
1008th,menackni,1h 29m 22s 075ms,1h 28m 48s 085ms,1.16.3,Easy,F3,JellySquid,2 months ago
1009th,Chikorita,1h 29m 16s 380ms,1h 29m 16s 380ms,1.16.4,Easy,F3,Vanilla,1 month ago
1010th,TyPier,1h 29m 47s 085ms,1h 29m 47s 085ms,1.16.1,Easy,F3,JellySquid,2 months ago
1011th,squeeked,1h 30m 18s,1h 30m 18s,1.16.1,Normal,F3,JellySquid,5 months ago
1012th,prowiththeflow,1h 30m 47s,1h 30m 34s,1.16.1,Normal,F3,Optifine,5 months ago
1013th,Unioto,1h 31m 49s,1h 30m 36s,1.16.2,Normal,F3,Vanilla,4 months ago
1014th,Avrelian,1h 31m 21s 440ms,1h 31m 07s,1.16.1,Easy,F3,Vanilla,3 months ago
1015th,Ethangle,1h 31m 30s,1h 31m 09s,1.16.1,Easy,F3,JellySquid,3 months ago
1016th,MickeySpoonK,1h 31m 09s 064ms,1h 31m 09s 064ms,1.16.1,Normal,No F3,Vanilla,5 months ago
1017th,T_Saki,1h 31m 11s,1h 31m 11s,1.16.1,Normal,No F3,Vanilla,6 months ago
1018th,Andwinn,1h 31m 15s,1h 31m 15s,1.16,Easy,F3,Vanilla,1 month ago
1019th,mrrainbowcat,1h 31m 16s 024ms,1h 31m 16s 024ms,1.16.1,Normal,No F3,Vanilla,2 months ago
1020th,MultiMaxi,1h 31m 17s 085ms,1h 31m 17s,1.16.1,Easy,No F3,Vanilla,2 months ago
1021st,Dracanio,1h 38m 27s 024ms,1h 31m 25s 015ms,1.16.1,Easy,F3,Vanilla,2 months ago
1022nd,guido_tarantino,1h 31m 38s,1h 31m 38s,1.16.1,Easy,F3,Optifine,5 months ago
1023rd,Talon3x,1h 31m 39s,1h 31m 39s,1.16.1,Normal,F3,Optifine,5 months ago
