Rank,Player,Real time,In-game time,Version,Difficulty,F3,Mods,Date
142nd,Galactic,25m 22s 066ms,25m 11s 005ms,1.16.1,Easy,F3,JellySquid,2 months ago
143rd,baragona,25m 12s,25m 12s,1.16.1,Normal,F3,Vanilla,2 months ago
144th,Stoffe,25m 14s 062ms,25m 14s 062ms,1.16.1,Normal,F3,JellySquid,2 months ago
145th,ByJoes,25m 35s 005ms,25m 17s 090ms,1.16.1,Easy,F3,JellySquid,2 months ago
146th,Pumbuh,25m 36s 233ms,25m 17s 400ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
147th,Redmaddic,25m 17s 920ms,25m 18s 350ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
148th,mikeyboytv,26m 01s 830ms,25m 21s 600ms,1.16.1,Easy,F3,JellySquid,1 month ago
149th,Zenonn69,25m 22s 033ms,25m 22s 033ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
150th,mingo_XD,25m 34s 110ms,25m 23s 800ms,1.16.1,Easy,F3,JellySquid,1 month ago
151st,TheFabo,25m 26s 740ms,25m 26s 740ms,1.16.1,Easy,F3,JellySquid,2 months ago
152nd,ryancflam,25m 36s,25m 26s 800ms,1.16.1,Normal,F3,Vanilla,3 months ago
153rd,Sharkey91,25m 44s,25m 30s 750ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
154th,suravil,25m 44s 920ms,25m 30s 800ms,1.16.1,Normal,F3,Vanilla,2 weeks ago
155th,ExTr0iX,25m 44s 483ms,25m 33s 900ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
156th,DesktopFolder,25m 49s 080ms,25m 35s 750ms,1.16.1,Normal,F3,JellySquid,1 month ago
157th,RmaGod,25m 41s 065ms,25m 37s,1.16.1,Hardcore,F3,Optifine,5 months ago
158th,CroProYT,25m 39s 810ms,25m 39s 810ms,1.16.1,Normal,F3,JellySquid,4 months ago
159th,karelkop,26m 14s 670ms,25m 42s 450ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
160th,Haid_,25m 43s 083ms,25m 43s 083ms,1.16.1,Easy,F3,JellySquid,1 month ago
161st,Heqtor,25m 45s 910ms,25m 45s 910ms,1.16.1,Normal,F3,JellySquid,3 weeks ago
162nd,RealSpeed,25m 46s 240ms,25m 46s 240ms,1.16.1,Normal,F3,Vanilla,1 month ago
163rd,Buration,25m 47s 717ms,25m 47s 717ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
164th,FoolishGamers,25m 49s,25m 49s,1.16.1,Easy,F3,Vanilla,3 weeks ago
165th,HIZZ,25m 54s 460ms,25m 49s 400ms,1.16.1,Easy,F3,JellySquid,2 months ago
166th,Pedrodbr,25m 57s 300ms,25m 54s 210ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
167th,SLTRR,25m 54s 980ms,25m 54s 500ms,1.16.1,Easy,F3,Vanilla,1 month ago
168th,nonXD,27m 57s 970ms,25m 56s 700ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
169th,Refferency,25m 57s 390ms,25m 57s 390ms,1.16.1,Normal,F3,Vanilla,3 months ago
170th,TheItalianFeller,26m 28s 990ms,25m 57s 850ms,1.16.1,Easy,F3,Vanilla,2 weeks ago
171st,actualbigchief,25m 56s 820ms,25m 58s 150ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
172nd,MeisterMaki,26m 05s 043ms,25m 59s 015ms,1.16.1,Normal,F3,JellySquid,2 months ago
173rd,MagneticMaybe,26m 10s 660ms,25m 59s 700ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
174th,AdrianAyVa,25m 59s 066ms,26m 00s 010ms,1.16.1,Normal,F3,Vanilla,1 month ago
175th,G1bnick,28m 35s,26m 02s 600ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
176th,cloUder691,26m 08s 000ms,26m 03s 000ms,1.16.1,Normal,F3,JellySquid,1 month ago
177th,boltdan,26m 18s 057ms,26m 05s 010ms,1.16.1,Easy,F3,Vanilla,4 weeks ago
178th,SlippySlipper,26m 16s 018ms,26m 05s 065ms,1.16.1,Normal,No F3,JellySquid,2 months ago
179th,Hinart,26m 39s 074ms,26m 07s 030ms,1.16.1,Easy,F3,JellySquid,1 month ago
180th,Nwjoo,26m 21s 026ms,26m 08s 850ms,1.16.1,Normal,F3,JellySquid,3 months ago
181st,Erupt,26m 11s 025ms,26m 11s 055ms,1.16.1,Easy,F3,Vanilla,1 month ago
182nd,Malamber,26m 11s 800ms,26m 11s 360ms,1.16.1,Easy,F3,JellySquid,1 month ago
183rd,Cronzorz,26m 17s 800ms,26m 15s 200ms,1.16.1,Normal,F3,JellySquid,1 month ago
184th,LumatDR,26m 16s 360ms,26m 16s 360ms,1.16.1,Normal,F3,Vanilla,2 months ago
185th,NotAnEzRandy,26m 16s 546ms,26m 16s 546ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
186th,CipherXN,26m 46s 310ms,26m 16s 550ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
187th,Shipoman,26m 17s 110ms,26m 17s 110ms,1.16.1,Normal,F3,Vanilla,1 month ago
188th,Fireburner,26m 21s 950ms,26m 21s 950ms,1.16.1,Easy,F3,Vanilla,1 month ago
189th,yeskaleb,26m 28s 910ms,26m 22s 080ms,1.16.1,Easy,F3,JellySquid,1 week ago
190th,LucoSRL,26m 30s 933ms,26m 25s 700ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
191st,alanispro,26m 47s 530ms,26m 26s 700ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
192nd,StainlessSteel,26m 35s 038ms,26m 29s 070ms,1.16.1,Easy,F3,JellySquid,1 month ago
193rd,Un_Mexican0,26m 32s 770ms,26m 33s,1.16.1,Normal,F3,Vanilla,3 weeks ago
194th,HayesLive,26m 34s 095ms,26m 34s 095ms,1.16.1,Easy,F3,Vanilla,1 month ago
195th,ArcticSky,26m 51s 170ms,26m 34s 650ms,1.16.1,Normal,F3,JellySquid,1 month ago
196th,AndyCuh,26m 36s 078ms,26m 37s 005ms,1.16.1,Normal,F3,JellySquid,2 months ago
197th,IcyFlamingo,26m 46s 600ms,26m 39s 350ms,1.16.1,Easy,F3,JellySquid,2 months ago
198th,ar4bidplatypus,26m 54s 751ms,26m 39s 450ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
199th,LogyHD,26m 58s 550ms,26m 42s 050ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
200th,Blayyzi,27m 45s 470ms,26m 44s 600ms,1.16.1,Easy,F3,Vanilla,1 week ago
201st,GeloTheGreatest,26m 45s 460ms,26m 45s 460ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
202nd,Tfue,27m 01s 390ms,26m 46s,1.16.1,Easy,F3,JellySquid,3 weeks ago
203rd,Asquared11,26m 46s 290ms,26m 46s 290ms,1.16.1,Normal,F3,JellySquid,2 weeks ago
204th,sneegsnag,26m 46s 750ms,26m 46s 750ms,1.16.1,Normal,F3,Vanilla,4 months ago
205th,Smamson,26m 54s,26m 48s 095ms,1.16.1,Easy,F3,Vanilla,2 months ago
206th,Dannyin2D,26m 59s 420ms,26m 48s 400ms,1.16.1,Normal,F3,Vanilla,3 weeks ago
207th,UrghBla,26m 50s 530ms,26m 50s 200ms,1.16.1,Easy,No F3,Vanilla,2 months ago
208th,Unknwon,26m 57s 200ms,26m 56s 500ms,1.16.1,Easy,F3,Vanilla,1 month ago
209th,Strick_Nine_TV,27m 43s 820ms,27m 04s 900ms,1.16.1,Easy,F3,JellySquid,3 weeks ago
210th,XKon23,27m 40s 250ms,27m 07s 090ms,1.16.1,Easy,F3,JellySquid,2 weeks ago
